ply
format ascii 1.D
comment this is my Proccessing file
element vertex 76800
property float x
property float y
property float z
end_header
-0.3451763 0.18794179 -0.6266539 
-0.34385282 0.19144595 -0.6242512 
-0.33929944 0.19307958 -0.6159847 
-0.33549142 0.19503464 -0.6090714 
-0.3336193 0.19804533 -0.6056726 
-0.32993704 0.19991323 -0.59898764 
-0.32752705 0.20247714 -0.59461236 
-0.3263352 0.20574987 -0.5924486 
-0.3245636 0.20862067 -0.5892323 
-0.32223114 0.21108055 -0.5849979 
-0.3205037 0.21388686 -0.5818618 
-0.3187947 0.21666323 -0.57875913 
-0.3171038 0.21941015 -0.5756894 
-0.31543076 0.2221281 -0.57265204 
-0.31377527 0.22481751 -0.5696466 
-0.8332855 -0.6289894 -1.5315133 
-0.83722335 -0.62154794 -1.5387508 
-0.8452117 -0.61696523 -1.5534327 
-0.85335404 -0.61229426 -1.5683976 
-0.86165464 -0.6075324 -1.5836536 
-0.8658659 -0.5997315 -1.5913935 
-0.87011844 -0.591854 -1.5992093 
-0.8875547 -0.5926742 -1.6312559 
-0.8875547 -0.58163434 -1.6312559 
-0.8965376 -0.57636935 -1.6477656 
-0.9057041 -0.57099676 -1.664613 
-0.9198109 -0.5684492 -1.6905402 
-0.92461133 -0.55991507 -1.699363 
-0.9294621 -0.55129135 -1.7082783 
-0.9343641 -0.54257673 -1.7172878 
-0.93931794 -0.53376967 -1.7263926 
-0.94938517 -0.5276814 -1.7448953 
-0.96489704 -0.5243012 -1.773405 
-0.96489704 -0.5122993 -1.773405 
-0.9701809 -0.50303704 -1.7831163 
-0.9863857 -0.49917 -1.8128995 
-0.99749297 -0.49238357 -1.8333137 
-1.0088532 -0.48544255 -1.854193 
-1.0146309 -0.47560218 -1.864812 
-1.0263872 -0.4683461 -1.8864192 
-1.0323682 -0.45823404 -1.8974116 
-1.0445416 -0.45064485 -1.9197854 
-1.0570054 -0.4428745 -1.942693 
-1.0697705 -0.4349165 -1.966154 
-1.0828475 -0.42676395 -1.9901886 
-1.0895066 -0.4158365 -2.0024276 
-1.0962481 -0.40477386 -2.014818 
-1.1099846 -0.39603925 -2.0400646 
-1.1169828 -0.38464257 -2.0529268 
-1.1312474 -0.37548357 -2.0791438 
-1.1385169 -0.36373502 -2.0925047 
-1.1608979 -0.3564454 -2.133639 
-1.1763138 -0.34654713 -2.1619723 
-1.1921445 -0.33638236 -2.191068 
-1.2002208 -0.32373223 -2.2059116 
-1.2084072 -0.31090948 -2.2209575 
-1.2251198 -0.29997075 -2.251674 
-1.2423012 -0.2887252 -2.283252 
-1.2599713 -0.2771597 -2.3157282 
-1.2689961 -0.26336047 -2.3323152 
-1.2874393 -0.25117418 -2.3662124 
-1.3064268 -0.23862849 -2.4011097 
-1.3161318 -0.22403044 -2.418947 
-1.3359815 -0.21079156 -2.455429 
-1.3461325 -0.19564925 -2.4740858 
-1.3775327 -0.1830785 -2.531797 
-1.3992928 -0.16856532 -2.5717902 
-1.4217514 -0.15358627 -2.6130674 
-1.4332533 -0.13700117 -2.634207 
-1.4568244 -0.1211335 -2.6775289 
-1.4811839 -0.10473519 -2.7222996 
-1.4936717 -0.0870391 -2.7452512 
-1.5063719 -0.06904209 -2.768593 
-1.5324312 -0.051175255 -2.8164883 
-1.5594081 -0.03267937 -2.8660696 
-1.545802 -0.013166705 -2.8410625 
-1.5324312 0.0060084024 -2.8164883 
-1.545802 0.025288358 -2.8410625 
-1.545802 0.04451589 -2.8410625 
-1.5324312 0.06319206 -2.8164883 
-1.5192897 0.081547916 -2.7923353 
-1.5063719 0.09959162 -2.768593 
-1.5324312 0.12037572 -2.8164883 
-1.6163152 0.1470696 -2.9706604 
-1.6463553 0.17028123 -3.0258718 
-1.661798 0.19254883 -3.0542543 
-1.6935692 0.2172956 -3.112647 
-1.7099146 0.2406617 -3.1426888 
-1.6935692 0.25942668 -3.112647 
-1.7099146 0.2831994 -3.1426888 
-1.7099146 0.30446824 -3.1426888 
-1.7099146 0.32573712 -3.1426888 
-1.6935692 0.34368885 -3.112647 
-1.6935692 0.3647544 -3.112647 
-1.6775331 0.3821667 -3.0831742 
-1.6775331 0.40303278 -3.0831742 
-1.6935692 0.427951 -3.112647 
-1.6775331 0.44476494 -3.0831742 
-1.661798 0.46126345 -3.0542543 
-1.6775331 0.4864971 -3.0831742 
-1.6775331 0.5073632 -3.0831742 
-1.6775331 0.52822924 -3.0831742 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.36184952 0.17245229 -0.665051 
-0.35819158 0.17516436 -0.658328 
-0.35389853 0.17746693 -0.6504377 
-0.35179037 0.18078552 -0.64656305 
-0.3476485 0.18298127 -0.63895065 
-0.34494102 0.18584676 -0.6339745 
-0.34030303 0.1875808 -0.62545025 
-0.33965063 0.19144595 -0.6242512 
-0.33452004 0.192715 -0.61482155 
-0.33201244 0.19540015 -0.6102128 
-0.32893032 0.19767763 -0.6045481 
-0.32650554 0.20028165 -0.6000915 
-0.32411623 0.20284756 -0.59570014 
-0.32293466 0.20612492 -0.5935285 
-0.32234707 0.2097594 -0.5924486 
-0.31886604 0.21146044 -0.58605075 
-0.3171536 0.21426973 -0.5829034 
-0.31658688 0.21782474 -0.5818618 
-0.31545946 0.22097288 -0.5797897 
-0.31157592 0.2221281 -0.57265204 
-0.31212482 0.2264018 -0.5736609 
-0.82686514 -0.6319618 -1.5387508 
-0.8307912 -0.62449914 -1.5460569 
-0.8387562 -0.61992276 -1.5608793 
-0.8427962 -0.61229426 -1.5683976 
-0.8468753 -0.6045919 -1.5759887 
-0.85515326 -0.5997315 -1.5913935 
-0.85935324 -0.591854 -1.5992093 
-0.87220424 -0.58971983 -1.6231244 
-0.8765738 -0.58163434 -1.6312559 
-0.88544554 -0.57636935 -1.6477656 
-0.8899491 -0.5680925 -1.6561465 
-0.899095 -0.5626073 -1.6731666 
-0.90373886 -0.55413115 -1.6818086 
-0.9179627 -0.55129135 -1.7082783 
-0.922804 -0.54257673 -1.7172878 
-0.922804 -0.5309546 -1.7172878 
-0.94269085 -0.5305243 -1.7542961 
-0.95295924 -0.5243012 -1.773405 
-0.95295924 -0.5122993 -1.773405 
-0.96345377 -0.5058069 -1.7929348 
-0.97963625 -0.50196475 -1.8230494 
-0.9851519 -0.49238357 -1.8333137 
-0.9907299 -0.4826939 -1.8436942 
-1.0020778 -0.47560218 -1.864812 
-1.0136887 -0.4683461 -1.8864192 
-1.0195956 -0.45823404 -1.8974116 
-1.0316184 -0.45064485 -1.9197854 
-1.043928 -0.4428745 -1.942693 
-1.0565351 -0.4349165 -1.966154 
-1.0694504 -0.42676395 -1.9901886 
-1.0694504 -0.4132949 -1.9901886 
-1.0894263 -0.40729403 -2.0273626 
-1.0962517 -0.39603925 -2.0400646 
-1.1101627 -0.38708302 -2.065952 
-1.1244311 -0.37789652 -2.0925047 
-1.1244311 -0.36373502 -2.0925047 
-1.1465352 -0.3564454 -2.133639 
-1.1540974 -0.34426135 -2.1477122 
-1.1695254 -0.33413398 -2.1764228 
-1.1853716 -0.32373223 -2.2059116 
-1.1934566 -0.31090948 -2.2209575 
-1.2099625 -0.29997075 -2.251674 
-1.2355953 -0.29076403 -2.2993753 
-1.2443827 -0.2771597 -2.3157282 
-1.253296 -0.26336047 -2.3323152 
-1.2808186 -0.2530128 -2.3835332 
-1.2902634 -0.23862849 -2.4011097 
-1.2902634 -0.22237845 -2.4011097 
-1.3194526 -0.21079156 -2.455429 
-1.339657 -0.1971472 -2.4930282 
-1.3604897 -0.1830785 -2.531797 
-1.371151 -0.16724439 -2.551637 
-1.4041613 -0.15358627 -2.6130674 
-1.4155209 -0.13700117 -2.634207 
-1.4388005 -0.1211335 -2.6775289 
-1.4507297 -0.103866816 -2.6997287 
-1.4628584 -0.086311415 -2.7222996 
-1.5004929 -0.069634154 -2.7923353 
-1.5134718 -0.051175255 -2.8164883 
-1.5401149 -0.03267937 -2.8660696 
-1.5401149 -0.013282598 -2.8660696 
-1.5134718 0.0060084024 -2.8164883 
-1.5134718 0.025069622 -2.8164883 
-1.5266771 0.04451589 -2.8410625 
-1.5266771 0.06374342 -2.8410625 
-1.5134718 0.082253285 -2.8164883 
-1.5134718 0.1013145 -2.8164883 
-1.5266771 0.121426016 -2.8410625 
-1.5818862 0.14573999 -2.9438035 
-1.596318 0.16717422 -2.9706604 
-1.6412381 0.19254883 -3.0542543 
-1.6726161 0.2172956 -3.112647 
-1.6887593 0.2406617 -3.1426888 
-1.6887593 0.26193056 -3.1426888 
-1.6887593 0.2831994 -3.1426888 
-1.6887593 0.30446824 -3.1426888 
